3671,1272,892
3661,1270,890
3652,1270,889
3643,1276,888
3635,1281,887
3623,1289,886
3613,1291,886
3603,1293,886
3600,1298,887
3596,1302,885
3587,1301,884
3588,1296,886
3592,1294,880
3626,1335,859
3636,1334,858
3645,1330,856
3654,1325,853
3663,1321,849
3673,1318,846
3683,1317,845
3692,1320,845
3701,1325,844
3708,1332,842
3713,1340,842
3717,1349,842
3720,1359,842
3724,1368,842
3728,1378,842
3731,1387,842
3735,1396,842
3737,1406,842
7471,5992,1573
7464,5986,1575
7458,5979,1577
7448,5978,1578
7440,5974,1579
7437,5965,1580
7437,5956,1582
7437,5946,1583
7438,5936,1584
7438,5927,1586
7436,5918,1588
7435,5908,1590
7435,5899,1593
7434,5890,1596
7434,5881,1598
7436,5873,1601
7438,5864,1604
7439,5855,1606
7441,5845,1608
7442,5838,1610
7444,5829,1612
7442,5820,1614
7440,5811,1615
7438,5802,1616
7437,5792,1617
7440,5783,1618
7443,5774,1620
7443,5764,1621
7442,5754,1621
7440,5745,1620
7441,5735,1620
7443,5726,1619
7446,5716,1619
7450,5707,1620
7453,5698,1621
7455,5689,1623
7457,5680,1625
7457,5670,1625
7457,5660,1625
7454,5651,1625
7448,5643,1624
7446,5633,1624
7450,5624,1624
7454,5615,1623
7459,5607,1623
7464,5598,1623
3722,1392,843
3712,1395,844
3703,1397,844
3693,1400,843
3681,1405,843
3672,1413,843
3662,1416,843
3650,1423,844
3640,1425,844
3627,1427,844
3619,1437,844
3618,1450,842
3617,1460,842
3617,1470,841
3617,1480,841
3616,1490,841
3616,1500,841
3618,1509,841
3623,1517,840
3629,1526,838
3632,1535,835
3629,1545,832
3626,1555,829
3623,1564,827
3624,1574,827
3625,1584,827
3624,1581,827
3624,1571,827
3631,1568,827
3637,1575,826
3641,1584,824
3641,1594,821
3641,1604,819
3645,1612,814
3655,1610,811
3664,1607,808
3669,1615,803
3668,1617,803
3667,1625,799
3664,1634,795
3663,1644,790
3662,1654,788
3661,1664,788
3660,1674,788
3660,1682,788
3661,1679,788
3652,1675,788
3642,1673,787
3632,1672,789
3622,1671,789
3613,1670,790
3603,1670,790
3593,1670,791
3583,1669,791
3573,1668,791
3564,1667,792
3554,1667,793
3545,1669,795
3536,1671,797
3529,1678,801
3523,1688,802
3517,1693,805
3508,1695,807
3499,1697,810
3492,1704,811
3484,1709,811
3475,1709,811
3469,1709,811
3462,1708,811
3452,1708,811
3443,1707,811
3436,1713,811
3433,1722,811
3425,1725,814
3417,1727,816
3417,1732,816
3414,1742,816
3410,1751,816
